,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters,schedule_exp_const
92,10,0.0,20,0.060726400000021385,"[1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]",exponential,20.0,,0.001,19.993928281830613,20,5000,0.005
93,50,53.0,93,0.12564710000003743,"[0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1]",exponential,20.0,,0.001,19.987439235972055,20,5000,0.005
94,250,79.0,412,0.22077339999998458,"[0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0]",exponential,20.0,,0.001,19.977934840741153,20,5000,0.005
95,500,77.0,714,0.39099099999998543,"[0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1]",exponential,20.0,,0.001,19.960939093597545,20,5000,0.005
96,1000,82.0,954,0.6262090999999828,"[0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1]",exponential,20.0,,0.001,19.937477022222488,20,5000,0.005
97,5000,82.0,954,0.6262090999999828,"[0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1]",exponential,20.0,,0.001,19.937477022222488,20,5000,0.005
98,0,0.0,0,0.00015539999998281928,"[1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1]",arithmetic,20.0,0.0001,0.001,19.99999998446,20,5000,
99,10,0.0,20,0.07131029999999328,"[1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]",arithmetic,20.0,0.0001,0.001,19.99999286897,20,5000,
100,50,53.0,93,0.14530600000000504,"[0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1]",arithmetic,20.0,0.0001,0.001,19.9999854694,20,5000,
101,250,76.0,454,0.24894139999997833,"[0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1]",arithmetic,20.0,0.0001,0.001,19.99997510586,20,5000,
102,500,48.0,887,0.41330269999997427,"[1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0]",arithmetic,20.0,0.0001,0.001,19.99995866973,20,5000,
103,1000,56.0,1754,0.7946087999999918,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1]",arithmetic,20.0,0.0001,0.001,19.99992053912,20,5000,
104,5000,46.0,8727,8.54575570000003,"[0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",arithmetic,20.0,0.0001,0.001,19.99914542443,20,5000,
